Channel,Device,Pasta1,Pasta2,Pasta3,Hibrido,Tag_name
FMA1,Debulha,Aeration,2101,,_debulha100[1].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2102,,_debulha100[2].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2103,,_debulha100[3].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2104,,_debulha100[4].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2105,,_debulha100[5].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2106,,_debulha100[6].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2107,,_debulha100[7].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2108,,_debulha100[8].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2109,,_debulha100[9].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2110,,_debulha100[10].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2111,,_debulha100[11].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2112,,_debulha100[12].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2113,,_debulha100[13].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2114,,_debulha100[14].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2115,,_debulha100[15].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2116,,_debulha100[16].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2117,,_debulha100[17].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2118,,_debulha100[18].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2119,,_debulha100[19].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2120,,_debulha100[20].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2121,,_debulha100[21].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2122,,_debulha100[22].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2123,,_debulha100[23].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2124,,_debulha100[24].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2201,,_debulha200[1].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2202,,_debulha200[2].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2203,,_debulha200[3].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2204,,_debulha200[4].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2205,,_debulha200[5].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2206,,_debulha200[6].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2207,,_debulha200[7].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2208,,_debulha200[8].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2209,,_debulha200[9].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2210,,_debulha200[10].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2211,,_debulha200[11].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2212,,_debulha200[12].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2213,,_debulha200[13].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2214,,_debulha200[14].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2215,,_debulha200[15].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2216,,_debulha200[16].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2217,,_debulha200[17].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2218,,_debulha200[18].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2219,,_debulha200[19].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2220,,_debulha200[20].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2221,,_debulha200[21].Hibrido_texto,hibrido
FMA1,Debulha,Aeration,2222,,_debulha200[22].Hibrido_texto,hibrido
